year,month,total_sales
2013,1,10327624.7369095
2013,2,9658959.7774368
2013,3,11428497.0374875
2013,4,10993464.7380118
2013,5,11597704.007026799
2013,6,11689344.0622436
2013,7,11257400.6076808
2013,8,11737788.9194727
2013,9,11792933.2318679
2013,10,11775620.3605191
2013,11,12356559.2929861
2013,12,15803117.1479746
2014,1,18911640.7014034
2014,2,12038352.6339783
2014,3,20365584.016477
2014,4,12861251.057149401
2014,5,13379785.2611975
2014,6,13319958.1730016
2014,7,19421891.0438224
2014,8,13885176.419054199
2014,9,20022416.1138096
2014,10,20396101.3141771
2014,11,20531635.2036432
2014,12,24340454.3638302
2015,1,14896922.0571985
2015,2,13742395.8483812
2015,3,15598607.5183553
2015,4,14955068.1707755
2015,5,17730368.244309
2015,6,21615360.3512421
2015,7,22209619.0387389
2015,8,22963674.241281502
2015,9,23240882.4779112
2015,10,23878267.6645621
2015,11,22804953.3682112
2015,12,27243981.6737737
2016,1,23977804.8854341
2016,2,21947408.8010028
2016,3,23131780.8838199
2016,4,25963025.1019622
2016,5,24779432.2602277
2016,6,22209218.5803836
2016,7,23462672.4331036
2016,8,22452414.3178949
2016,9,22417448.0969967
2016,10,24030389.816292
2016,11,24642640.1973935
2016,12,29640287.5793851
2017,1,26328159.9357051
2017,2,23250112.3749368
2017,3,26704017.6908793
2017,4,25895308.489555098
2017,5,26911847.250593
2017,6,25682822.1249936
2017,7,27011477.5658307
